idPassageiro ,Idade
1,22.0
2,38.0
3,26.0
4,35.0
5,35.0
7,54.0
8,2.0
9,27.0
10,14.0
11,4.0
12,58.0
13,20.0
14,39.0
15,14.0
16,55.0
17,2.0
19,31.0
21,35.0
22,34.0
23,15.0
24,28.0
25,8.0
26,38.0
28,19.0
31,40.0
34,66.0
35,28.0
36,42.0
38,21.0
39,18.0
40,14.0
41,40.0
42,27.0
44,3.0
45,19.0
50,18.0
51,7.0
52,21.0
53,49.0
54,29.0
55,65.0
57,21.0
58,28.5
59,5.0
60,11.0
61,22.0
62,38.0
63,45.0
64,4.0
67,29.0
68,19.0
69,17.0
70,26.0
71,32.0
72,16.0
73,21.0
74,26.0
75,32.0
76,25.0
79,0.83
80,30.0
81,22.0
82,29.0
84,28.0
85,17.0
86,33.0
87,16.0
89,23.0
90,24.0
91,29.0
92,20.0
93,46.0
94,26.0
95,59.0
97,71.0
98,23.0
99,34.0
100,34.0
101,28.0
103,21.0
104,33.0
105,37.0
106,28.0
107,21.0
109,38.0
111,47.0
112,14.5
113,22.0
114,20.0
115,17.0
116,21.0
117,70.5
118,29.0
119,24.0
120,2.0
121,21.0
123,32.5
124,32.5
125,54.0
126,12.0
128,24.0
130,45.0
131,33.0
132,20.0
133,47.0
134,29.0
135,25.0
136,23.0
137,19.0
138,37.0
139,16.0
140,24.0
142,22.0
143,24.0
144,19.0
145,18.0
146,19.0
147,27.0
148,9.0
149,36.5
150,42.0
151,51.0
152,22.0
153,55.5
154,40.5
156,51.0
157,16.0
158,30.0
161,44.0
162,40.0
163,26.0
164,17.0
165,1.0
166,9.0
168,45.0
170,28.0
171,61.0
172,4.0
173,1.0
174,21.0
175,56.0
176,18.0
178,50.0
179,30.0
180,36.0
183,9.0
184,1.0
185,4.0
188,45.0
189,40.0
190,36.0
191,32.0
192,19.0
193,19.0
194,3.0
195,44.0
196,58.0
198,42.0
200,24.0
201,28.0
203,34.0
204,45.5
205,18.0
206,2.0
207,32.0
208,26.0
209,16.0
210,40.0
211,24.0
212,35.0
213,22.0
214,30.0
216,31.0
217,27.0
218,42.0
219,32.0
220,30.0
221,16.0
222,27.0
223,51.0
225,38.0
226,22.0
227,19.0
228,20.5
229,18.0
231,35.0
232,29.0
233,59.0
234,5.0
235,24.0
237,44.0
238,8.0
239,19.0
240,33.0
243,29.0
244,22.0
245,30.0
246,44.0
247,25.0
248,24.0
249,37.0
250,54.0
252,29.0
253,62.0
254,30.0
255,41.0
256,29.0
258,30.0
259,35.0
260,50.0
262,3.0
263,52.0
264,40.0
266,36.0
267,16.0
268,25.0
269,58.0
270,35.0
272,25.0
273,41.0
274,37.0
276,63.0
277,45.0
279,7.0
280,35.0
281,65.0
282,28.0
283,16.0
284,19.0
286,33.0
287,30.0
288,22.0
289,42.0
290,22.0
291,26.0
292,19.0
293,36.0
294,24.0
295,24.0
297,23.5
298,2.0
300,50.0
303,19.0
306,0.92
308,17.0
309,30.0
310,30.0
311,24.0
312,18.0
313,26.0
314,28.0
315,43.0
316,26.0
317,24.0
318,54.0
319,31.0
320,40.0
321,22.0
322,27.0
323,30.0
324,22.0
326,36.0
327,61.0
328,36.0
329,31.0
330,16.0
332,45.5
333,38.0
334,16.0
337,29.0
338,41.0
339,45.0
340,45.0
341,2.0
342,24.0
343,28.0
344,25.0
345,36.0
346,24.0
347,40.0
349,3.0
350,42.0
351,23.0
353,15.0
354,25.0
356,28.0
357,22.0
358,38.0
361,40.0
362,29.0
363,45.0
364,35.0
366,30.0
367,60.0
370,24.0
371,25.0
372,18.0
373,19.0
374,22.0
375,3.0
377,22.0
378,27.0
379,20.0
380,19.0
381,42.0
382,1.0
383,32.0
384,35.0
386,18.0
387,1.0
388,36.0
390,17.0
391,36.0
392,21.0
393,28.0
394,23.0
395,24.0
396,22.0
397,31.0
398,46.0
399,23.0
400,28.0
401,39.0
402,26.0
403,21.0
404,28.0
405,20.0
406,34.0
407,51.0
408,3.0
409,21.0
413,33.0
415,44.0
417,34.0
418,18.0
419,30.0
420,10.0
422,21.0
423,29.0
424,28.0
425,18.0
427,28.0
428,19.0
430,32.0
431,28.0
433,42.0
434,17.0
435,50.0
436,14.0
437,21.0
438,24.0
439,64.0
440,31.0
441,45.0
442,20.0
443,25.0
444,28.0
446,4.0
447,13.0
448,34.0
449,5.0
450,52.0
451,36.0
453,30.0
454,49.0
456,29.0
457,65.0
459,50.0
461,48.0
462,34.0
463,47.0
464,48.0
466,38.0
468,56.0
470,0.75
472,38.0
473,33.0
474,23.0
475,22.0
477,34.0
478,29.0
479,22.0
480,2.0
481,9.0
483,50.0
484,63.0
485,25.0
487,35.0
488,58.0
489,30.0
490,9.0
492,21.0
493,55.0
494,71.0
495,21.0
497,54.0
499,25.0
500,24.0
501,17.0
502,21.0
504,37.0
505,16.0
506,18.0
507,33.0
509,28.0
510,26.0
511,29.0
513,36.0
514,54.0
515,24.0
516,47.0
517,34.0
519,36.0
520,32.0
521,30.0
522,22.0
524,44.0
526,40.5
527,50.0
529,39.0
530,23.0
531,2.0
533,17.0
535,30.0
536,7.0
537,45.0
538,30.0
540,22.0
541,36.0
542,9.0
543,11.0
544,32.0
545,50.0
546,64.0
547,19.0
549,33.0
550,8.0
551,17.0
552,27.0
554,22.0
555,22.0
556,62.0
557,48.0
559,39.0
560,36.0
562,40.0
563,28.0
566,24.0
567,19.0
568,29.0
570,32.0
571,62.0
572,53.0
573,36.0
575,16.0
576,19.0
577,34.0
578,39.0
580,32.0
581,25.0
582,39.0
583,54.0
584,36.0
586,18.0
587,47.0
588,60.0
589,22.0
591,35.0
592,52.0
593,47.0
595,37.0
596,36.0
598,49.0
600,49.0
601,24.0
604,44.0
605,35.0
606,36.0
607,30.0
608,27.0
609,22.0
610,40.0
611,39.0
615,35.0
616,24.0
617,34.0
618,26.0
619,4.0
620,26.0
621,27.0
622,42.0
623,20.0
624,21.0
625,21.0
626,61.0
627,57.0
628,21.0
629,26.0
631,80.0
632,51.0
633,32.0
635,9.0
636,28.0
637,32.0
638,31.0
639,41.0
641,20.0
642,24.0
643,2.0
645,0.75
646,48.0
647,19.0
648,56.0
650,23.0
652,18.0
653,21.0
655,18.0
656,24.0
658,32.0
659,23.0
660,58.0
661,50.0
662,40.0
663,47.0
664,36.0
665,20.0
666,32.0
667,25.0
669,43.0
671,40.0
672,31.0
673,70.0
674,31.0
676,18.0
677,24.5
678,18.0
679,43.0
680,36.0
682,27.0
683,20.0
684,14.0
685,60.0
686,25.0
687,14.0
688,19.0
689,18.0
690,15.0
691,31.0
692,4.0
694,25.0
695,60.0
696,52.0
697,44.0
699,49.0
700,42.0
701,18.0
702,35.0
703,18.0
704,25.0
705,26.0
706,39.0
707,45.0
708,42.0
709,22.0
711,24.0
713,48.0
714,29.0
715,52.0
716,19.0
717,38.0
718,27.0
720,33.0
721,6.0
722,17.0
723,34.0
724,50.0
725,27.0
726,20.0
727,30.0
729,25.0
730,25.0
731,29.0
732,11.0
734,23.0
735,23.0
736,28.5
737,48.0
738,35.0
742,36.0
743,21.0
744,24.0
745,31.0
746,70.0
747,16.0
748,30.0
749,19.0
750,31.0
751,4.0
752,6.0
753,33.0
754,23.0
755,48.0
756,0.67
757,28.0
758,18.0
759,34.0
760,33.0
762,41.0
763,20.0
764,36.0
765,16.0
766,51.0
768,30.5
770,32.0
771,24.0
772,48.0
773,57.0
775,54.0
776,18.0
778,5.0
780,43.0
781,13.0
782,17.0
783,29.0
785,25.0
